"resp_id","pref_twiz"
1,TRUE
2,FALSE
3,FALSE
4,FALSE
5,TRUE
6,TRUE
7,FALSE
8,FALSE
9,FALSE
10,FALSE
11,FALSE
12,FALSE
13,TRUE
14,FALSE
15,FALSE
16,FALSE
17,FALSE
18,FALSE
19,FALSE
20,TRUE
21,TRUE
22,FALSE
23,FALSE
24,FALSE
25,FALSE
26,TRUE
27,FALSE
28,FALSE
29,TRUE
30,FALSE
31,FALSE
32,TRUE
33,TRUE
34,FALSE
35,FALSE
36,FALSE
37,FALSE
38,FALSE
39,TRUE
40,FALSE
41,TRUE
42,TRUE
43,FALSE
44,FALSE
45,TRUE
46,FALSE
47,FALSE
48,FALSE
49,FALSE
50,FALSE
51,FALSE
52,FALSE
53,TRUE
54,FALSE
55,FALSE
56,FALSE
57,FALSE
58,FALSE
59,FALSE
60,TRUE
61,FALSE
62,TRUE
63,FALSE
64,FALSE
65,TRUE
66,FALSE
67,FALSE
68,FALSE
69,FALSE
70,FALSE
71,FALSE
72,TRUE
73,FALSE
74,FALSE
75,FALSE
76,FALSE
77,FALSE
78,FALSE
79,TRUE
80,FALSE
81,FALSE
82,FALSE
83,FALSE
84,TRUE
85,FALSE
86,TRUE
87,FALSE
88,FALSE
89,FALSE
90,TRUE
91,FALSE
92,FALSE
93,FALSE
94,FALSE
95,FALSE
96,TRUE
97,FALSE
98,FALSE
99,FALSE
100,FALSE
101,TRUE
102,FALSE
103,TRUE
104,FALSE
105,FALSE
106,FALSE
107,FALSE
108,FALSE
109,FALSE
110,FALSE
111,FALSE
112,FALSE
113,TRUE
114,FALSE
115,FALSE
116,FALSE
117,FALSE
118,FALSE
119,TRUE
120,FALSE
121,FALSE
122,FALSE
123,TRUE
124,TRUE
125,TRUE
126,FALSE
127,TRUE
128,FALSE
129,FALSE
130,FALSE
131,FALSE
132,FALSE
133,FALSE
134,FALSE
135,FALSE
136,FALSE
137,FALSE
138,TRUE
139,FALSE
140,FALSE
141,FALSE
142,TRUE
143,TRUE
144,FALSE
145,TRUE
146,FALSE
147,FALSE
148,FALSE
149,FALSE
150,FALSE
151,FALSE
152,FALSE
153,FALSE
154,FALSE
155,FALSE
156,FALSE
157,FALSE
158,FALSE
159,TRUE
160,TRUE
161,FALSE
162,FALSE
163,FALSE
164,FALSE
165,TRUE
166,FALSE
167,FALSE
168,TRUE
169,FALSE
170,TRUE
171,TRUE
172,FALSE
173,FALSE
174,FALSE
175,FALSE
176,FALSE
177,FALSE
178,FALSE
179,TRUE
180,FALSE
181,TRUE
182,TRUE
183,FALSE
184,FALSE
185,FALSE
186,FALSE
187,FALSE
188,FALSE
189,FALSE
190,FALSE
191,FALSE
192,FALSE
193,FALSE
194,FALSE
195,FALSE
196,TRUE
197,TRUE
198,FALSE
199,FALSE
200,FALSE
201,FALSE
202,TRUE
203,FALSE
204,FALSE
205,FALSE
206,FALSE
207,FALSE
208,FALSE
209,FALSE
210,TRUE
211,FALSE
212,TRUE
213,TRUE
214,FALSE
215,FALSE
216,FALSE
217,TRUE
218,FALSE
219,FALSE
220,FALSE
221,FALSE
222,TRUE
223,FALSE
224,FALSE
225,TRUE
226,FALSE
227,FALSE
228,FALSE
229,TRUE
230,FALSE
231,FALSE
232,FALSE
233,FALSE
234,FALSE
235,FALSE
236,FALSE
237,FALSE
238,FALSE
239,FALSE
240,FALSE
241,TRUE
242,FALSE
243,TRUE
244,FALSE
245,FALSE
246,TRUE
247,TRUE
248,TRUE
249,FALSE
250,FALSE
251,FALSE
252,FALSE
253,FALSE
254,FALSE
255,FALSE
256,FALSE
257,TRUE
258,FALSE
259,FALSE
260,FALSE
261,FALSE
262,TRUE
263,FALSE
264,FALSE
265,FALSE
266,TRUE
267,FALSE
268,TRUE
269,TRUE
270,FALSE
271,FALSE
272,FALSE
273,FALSE
274,FALSE
275,FALSE
276,FALSE
277,FALSE
278,TRUE
279,TRUE
280,TRUE
281,TRUE
282,FALSE
283,FALSE
284,TRUE
285,FALSE
286,TRUE
287,FALSE
288,FALSE
289,FALSE
290,FALSE
291,FALSE
292,FALSE
293,TRUE
294,FALSE
295,FALSE
296,FALSE
297,FALSE
298,FALSE
299,FALSE
300,TRUE
301,FALSE
302,FALSE
303,FALSE
304,TRUE
305,FALSE
306,FALSE
307,FALSE
308,FALSE
309,FALSE
310,FALSE
311,TRUE
312,FALSE
313,FALSE
314,TRUE
315,FALSE
316,FALSE
317,TRUE
318,FALSE
319,FALSE
320,FALSE
321,FALSE
322,FALSE
323,FALSE
324,FALSE
325,FALSE
326,FALSE
327,FALSE
328,TRUE
329,FALSE
330,FALSE
331,FALSE
332,TRUE
333,TRUE
