"grid","posterior"
0,0
0.00200400801603206,0
0.00400801603206413,0
0.00601202404809619,0
0.00801603206412826,0
0.0100200400801603,0
0.0120240480961924,0
0.0140280561122244,0
0.0160320641282565,0
0.0180360721442886,0
0.0200400801603206,0
0.0220440881763527,0
0.0240480961923848,0
0.0260521042084168,0
0.0280561122244489,0
0.030060120240481,0
0.032064128256513,0
0.0340681362725451,0
0.0360721442885771,0
0.0380761523046092,0
0.0400801603206413,0
0.0420841683366733,0
0.0440881763527054,0
0.0460921843687375,0
0.0480961923847695,0
0.0501002004008016,0
0.0521042084168337,0
0.0541082164328657,0
0.0561122244488978,0
0.0581162324649299,0
0.0601202404809619,0
0.062124248496994,0
0.064128256513026,0
0.0661322645290581,0
0.0681362725450902,0
0.0701402805611222,0
0.0721442885771543,0
0.0741482965931864,0
0.0761523046092184,0
0.0781563126252505,0
0.0801603206412826,0
0.0821643286573146,0
0.0841683366733467,0
0.0861723446893787,0
0.0881763527054108,0
0.0901803607214429,0
0.0921843687374749,0
0.094188376753507,0
0.0961923847695391,0
0.0981963927855711,0
0.100200400801603,0
0.102204408817635,0
0.104208416833667,0
0.106212424849699,0
0.108216432865731,0
0.110220440881764,0
0.112224448897796,0
0.114228456913828,0
0.11623246492986,0
0.118236472945892,0
0.120240480961924,0
0.122244488977956,0
0.124248496993988,0
0.12625250501002,0
0.128256513026052,0
0.130260521042084,0
0.132264529058116,0
0.134268537074148,0
0.13627254509018,0
0.138276553106212,0
0.140280561122244,0
0.142284569138277,0
0.144288577154309,0
0.146292585170341,0
0.148296593186373,0
0.150300601202405,0
0.152304609218437,0
0.154308617234469,0
0.156312625250501,0
0.158316633266533,0
0.160320641282565,0
0.162324649298597,0
0.164328657314629,0
0.166332665330661,0
0.168336673346693,0
0.170340681362725,0
0.172344689378757,0
0.17434869739479,0
0.176352705410822,0
0.178356713426854,0
0.180360721442886,0
0.182364729458918,0
0.18436873747495,0
0.186372745490982,0
0.188376753507014,0
0.190380761523046,0
0.192384769539078,0
0.19438877755511,0
0.196392785571142,0
0.198396793587174,0
0.200400801603206,0
0.202404809619238,0
0.204408817635271,0
0.206412825651303,0
0.208416833667335,0
0.210420841683367,0
0.212424849699399,0
0.214428857715431,0
0.216432865731463,0
0.218436873747495,0
0.220440881763527,0
0.222444889779559,0
0.224448897795591,0
0.226452905811623,0
0.228456913827655,0
0.230460921843687,0
0.232464929859719,0
0.234468937875751,0
0.236472945891784,0
0.238476953907816,0
0.240480961923848,0
0.24248496993988,0
0.244488977955912,0
0.246492985971944,0
0.248496993987976,0
0.250501002004008,0
0.25250501002004,0
0.254509018036072,0
0.256513026052104,0
0.258517034068136,0
0.260521042084168,0
0.2625250501002,0
0.264529058116232,0
0.266533066132265,0
0.268537074148297,0
0.270541082164329,0
0.272545090180361,0
0.274549098196393,0
0.276553106212425,0
0.278557114228457,0
0.280561122244489,0
0.282565130260521,0
0.284569138276553,1.18955404325995e-143
0.286573146292585,6.51006823831109e-142
0.288577154308617,3.44188612191486e-140
0.290581162324649,1.75264062287036e-138
0.292585170340681,8.59731287463934e-137
0.294589178356713,4.0644772908715e-135
0.296593186372745,1.85272412951586e-133
0.298597194388778,8.146457132318e-132
0.30060120240481,3.4567076219538e-130
0.302605210420842,1.41602974418358e-128
0.304609218436874,5.60240093153778e-127
