"student_id","teacher_id","school_id","student_born","student_female","student_race_ethnicity","student_re_white","student_re_black","student_re_asian","student_re_hispanic","student_re_native_american","student_re_other","student_reading_score","student_math_score","student_listening_score","class_type","class_size","class_prop_female","class_prop_white","class_prop_black","class_prop_asian","class_prop_hispanic","class_prop_native_american","class_prop_other","teacher_race","teacher_degree","teacher_exper","teacher_female","teacher_race_ethnicity","teacher_re_white","teacher_re_black","teacher_re_asian","teacher_re_hispanic","teacher_re_native_american","teacher_re_other"
11582,11203804,112038,1979.403,FALSE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,558,479,504,3,28,0.346153846153846,0.692307692307692,0.307692307692308,0,0,0,0,2,"Bachelors",7,TRUE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
18988,11203804,112038,1980.254,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,480,468,524,3,28,0.346153846153846,0.692307692307692,0.307692307692308,0,0,0,0,2,"Bachelors",7,TRUE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
15004,11203804,112038,1980.284,FALSE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,419,497,554,3,28,0.346153846153846,0.692307692307692,0.307692307692308,0,0,0,0,2,"Bachelors",7,TRUE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
16823,11203804,112038,1980.675,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,564,488,571,3,28,0.346153846153846,0.692307692307692,0.307692307692308,0,0,0,0,2,"Bachelors",7,TRUE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
16118,11203804,112038,1980.514,TRUE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,451,479,580,3,28,0.346153846153846,0.692307692307692,0.307692307692308,0,0,0,0,2,"Bachelors",7,TRUE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
10575,11203804,112038,1979.581,FALSE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,447,477,524,3,28,0.346153846153846,0.692307692307692,0.307692307692308,0,0,0,0,2,"Bachelors",7,TRUE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
18972,11203804,112038,1979.592,TRUE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,536,510,541,3,28,0.346153846153846,0.692307692307692,0.307692307692308,0,0,0,0,2,"Bachelors",7,TRUE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
16085,11203804,112038,1980.505,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,540,515,534,3,28,0.346153846153846,0.692307692307692,0.307692307692308,0,0,0,0,2,"Bachelors",7,TRUE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
10975,11203804,112038,1978.945,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,468,463,526,3,28,0.346153846153846,0.692307692307692,0.307692307692308,0,0,0,0,2,"Bachelors",7,TRUE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
16471,11203804,112038,1980.587,FALSE,"White",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,442,449,526,3,28,0.346153846153846,0.692307692307692,0.307692307692308,0,0,0,0,2,"Bachelors",7,TRUE,"Black",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
